next-deadline,ID,site1,autoID2,site2,site3,autoID3,site4,autoID4,site5,autoID5,Submittal Frequency,tasks,Worksheets,Performanc Frequency,Responsible Party1,Responsible Party2,Count of autoID1
"Friday, November 18, 2016",2,5900 westpark,1002,ne-service-center,se-service-center,1002,nw-service-center,1002,sw-service-center,1002,Weekly,"Spill response, inventory log",8,Daily,Yard Man,maint Sr. Superintendent,1
"Friday, November 18, 2016",3,5900 westpark,1003,ne-service-center,se-service-center,1003,nw-service-center,1003,sw-service-center,1003,Weekly,Routine Facility Inspection,7,Daily,Yard Man,onsite DAD,1
"Friday, November 25, 2016",8,5900 westpark,1008,ne-service-center,se-service-center,1008,nw-service-center,1008,sw-service-center,1008,Weekly,"Spill response, inventory log",8,Daily,Yard Man,maint Sr. Superintendent,1
"Friday, November 25, 2016",395,5900 westpark,1395,ne-service-center,se-service-center,1395,nw-service-center,1395,sw-service-center,1395,Weekly,Routine Facility Inspection,7,Daily,Yard Man,onsite DAD,1
"Wednesday, November 30, 2016",5,5900 westpark,1005,ne-service-center,se-service-center,1005,nw-service-center,1005,sw-service-center,1005,Monthly,Oil Water Separator Maintenance,none,Monthly,Q Environmental,to be determined,1
"Friday, December 02, 2016",9,5900 westpark,1009,ne-service-center,se-service-center,1009,nw-service-center,1009,sw-service-center,1009,Weekly,"Spill response, inventory log",8,Daily,Yard Man,maint Sr. Superintendent,1
"Friday, December 02, 2016",396,5900 westpark,1396,ne-service-center,se-service-center,1396,nw-service-center,1396,sw-service-center,1396,Weekly,Routine Facility Inspection,7,Daily,Yard Man,onsite DAD,1
"Friday, December 09, 2016",10,5900 westpark,1010,ne-service-center,se-service-center,1010,nw-service-center,1010,sw-service-center,1010,Weekly,"Spill response, inventory log",8,Daily,Yard Man,maint Sr. Superintendent,1
"Friday, December 09, 2016",397,5900 westpark,1397,ne-service-center,se-service-center,1397,nw-service-center,1397,sw-service-center,1397,Weekly,Routine Facility Inspection,7,Daily,Yard Man,onsite DAD,1
"Friday, December 16, 2016",11,5900 westpark,1011,ne-service-center,se-service-center,1011,nw-service-center,1011,sw-service-center,1011,Weekly,"Spill response, inventory log",8,Daily,Yard Man,maint Sr. Superintendent,1
"Friday, December 16, 2016",398,5900 westpark,1398,ne-service-center,se-service-center,1398,nw-service-center,1398,sw-service-center,1398,Weekly,Routine Facility Inspection,7,Daily,Yard Man,onsite DAD,1
"Friday, December 23, 2016",12,5900 westpark,1012,ne-service-center,se-service-center,1012,nw-service-center,1012,sw-service-center,1012,Weekly,"Spill response, inventory log",8,Daily,Yard Man,maint Sr. Superintendent,1
"Friday, December 23, 2016",399,5900 westpark,1399,ne-service-center,se-service-center,1399,nw-service-center,1399,sw-service-center,1399,Weekly,Routine Facility Inspection,7,Daily,Yard Man,onsite DAD,1
"Friday, December 30, 2016",1,5900 westpark,1001,ne-service-center,se-service-center,1001,nw-service-center,1001,sw-service-center,1001,Quarterly,Visual Monitoring,15,Quarterly,Yard Man,onsite DAD,1
"Friday, December 30, 2016",4,5900 westpark,1004,ne-service-center,se-service-center,1004,nw-service-center,1004,sw-service-center,1004,Quarterly,Quarterly Periodic Inspection,13,Quarterly,Project Manager,Chief of Staff,1
"Friday, December 30, 2016",13,5900 westpark,1013,ne-service-center,se-service-center,1013,nw-service-center,1013,sw-service-center,1013,Weekly,"Spill response, inventory log",8,Daily,Yard Man,maint Sr. Superintendent,1
"Friday, December 30, 2016",400,5900 westpark,1400,ne-service-center,se-service-center,1400,nw-service-center,1400,sw-service-center,1400,Weekly,Routine Facility Inspection,7,Daily,Yard Man,onsite DAD,1
"Friday, December 30, 2016",795,5900 westpark,1795,ne-service-center,se-service-center,1795,nw-service-center,1795,sw-service-center,1795,Monthly,Oil Water Separator Maintenance,none,Monthly,Q Environmental,to be determined,1
"Friday, December 30, 2016",897,5900 westpark,1897,ne-service-center,se-service-center,1897,nw-service-center,1897,sw-service-center,1897,Quarterly,Quarterly Truck Wash,(blank),Quarterly,Q Environmental,to be determined,1
"Saturday, December 31, 2016",930,5900 westpark,(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),Semi-annual,Benchmark Monitoring,15-1,Semi-annual,GSD vendor,GSD vendor,1
"Friday, January 06, 2017",14,5900 westpark,1014,ne-service-center,se-service-center,1014,nw-service-center,1014,sw-service-center,1014,Weekly,"Spill response, inventory log",8,Daily,Yard Man,maint Sr. Superintendent,1
"Friday, January 06, 2017",401,5900 westpark,1401,ne-service-center,se-service-center,1401,nw-service-center,1401,sw-service-center,1401,Weekly,Routine Facility Inspection,7,Daily,Yard Man,onsite DAD,1
"Friday, January 13, 2017",15,5900 westpark,1015,ne-service-center,se-service-center,1015,nw-service-center,1015,sw-service-center,1015,Weekly,"Spill response, inventory log",8,Daily,Yard Man,maint Sr. Superintendent,1
"Friday, January 13, 2017",402,5900 westpark,1402,ne-service-center,se-service-center,1402,nw-service-center,1402,sw-service-center,1402,Weekly,Routine Facility Inspection,7,Daily,Yard Man,onsite DAD,1
"Friday, January 20, 2017",16,5900 westpark,1016,ne-service-center,se-service-center,1016,nw-service-center,1016,sw-service-center,1016,Weekly,"Spill response, inventory log",8,Daily,Yard Man,maint Sr. Superintendent,1
"Friday, January 20, 2017",403,5900 westpark,1403,ne-service-center,se-service-center,1403,nw-service-center,1403,sw-service-center,1403,Weekly,Routine Facility Inspection,7,Daily,Yard Man,onsite DAD,1
